firm_id,firm_name,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,revenue,market_cap,ticker,year_listed
MAR001,Cosumar,Agro-alimentaire & Boissons,Casablanca-Settat,2019,10995.5,8796.4,2773298547.46,4417999914.071,1455.3,9895.95,8211.5,10.0,CSR,2000
MAR001,Cosumar,Agro-alimentaire & Boissons,Casablanca-Settat,2020,11540.8,9232.64,2714291530.26,2019.0,1414.5,10386.72,8630.2,10.0,CSR,2000
MAR001,Cosumar,Agro-alimentaire & Boissons,Casablanca-Settat,2021,12155.3,9724.24,4125336124.96,232.729,1408.1,10939.77,3608522772555321.0,10.0,CSR,2000
MAR001,Cosumar,Agro-alimentaire & Boissons,Casablanca-Settat,2022,11.986,9.5888,3609611009.43,9293.6,951.7,10.787400000000002,10432.9,10.0,CSR,2000
MAR001,Cosumar,Agro-alimentaire & Boissons,Casablanca-Settat,2023,14387.9,11510.32,4731832448.52,10233.1,1374.7,12949.11,584.0,10.0,CSR,2000
MAR001,Cosumar,Agro-alimentaire & Boissons,Casablanca-Settat,2024,12589.0,10071.2,4275305503.71,194245137.05,65.8,11330.1,355.56,10.0,CSR,2000
MAR002,Lesieur Cristal,Agro-alimentaire & Boissons,Casablanca-Settat,2019,1615334252.95,1406436183.29,1466421182.08,855643150.21,698.15,-13669514.73,11.0,4072509419.2000003,LES,2000
MAR002,Lesieur Cristal,Agro-alimentaire & Boissons,Casablanca-Settat,2020,244259.0,195407.2,1527242887.14,772748620.21,742.25,219833.1,11.0,10.0,LES,2000
MAR002,Lesieur Cristal,Agro-alimentaire & Boissons,Casablanca-Settat,2021,52653966.0,42123172.800000004,2295440462.71,827623799.7,263163761.31,47388569.4,11.0,10.0,LES,2000
MAR002,Lesieur Cristal,Agro-alimentaire & Boissons,Casablanca-Settat,2022,67405265.0,53924212.0,3459565469.4,422907256.64,309463.0,60664738.5,48636897.0,10.0,LES,2000
MAR002,Lesieur Cristal,Agro-alimentaire & Boissons,Casablanca-Settat,2023,52406740.0,41925392.0,1995378776.99,515681484.48,46374.0,47166066.0,2023.0,10.0,LES,2000
MAR002,Lesieur Cristal,Agro-alimentaire & Boissons,Casablanca-Settat,2024,53145240.0,42516192.0,2110510071.39,469291038.68,25650413.0,47830716.0,23.9,10.0,LES,2000
MAR003,Centrale Danone,Agro-alimentaire & Boissons,Casablanca-Settat,2019,32923258.0,26338606.400000002,1173031400.89,537380591.0,-59.0,29630932.2,2023.0,10.0,CDM,2000
MAR003,Centrale Danone,Agro-alimentaire & Boissons,Casablanca-Settat,2020,32273292.0,25818633.6,1039229817.84,537380591.0,70.0,29045962.8,2023.0,10.0,CDM,2000
MAR005,Dari Couspate,Agro-alimentaire & Boissons,Casablanca-Settat,2019,16258775.5,13007020.4,129445520.27,195644283.16,698.15,14632897.950000001,630191307.07,,DAR,2004
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2019,1610081141.84,580746092.6,-332270424.86,171127880.06,7953481969.0,1449073027.656,1165979450.0,10.0,LHM,2000
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2021,10266659494.89,719789425.95,7566023.95,1039409693.32,30763496.0,9239993545.401,1165979450.0,10.0,LHM,2000
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2022,2022.0,1617.6000000000001,50536726.42,1492713561.24,34962696.0,1819.8,1539092874.0,10.0,LHM,2000
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2023,5.0,4.0,52909797.63,1281091945.06,26962978.0,4.5,1539092874.0,10.0,LHM,2000
MAR009,LafargeHolcim Maroc,Materiaux de construction,Casablanca-Settat,2024,10118732661.32,649727311.2,6520716.15,1155115718.75,29783294.0,9106859395.188,1005714374.85,10.0,LHM,2000
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2019,61618086425616.0,843481703.19,988060821.84,36243490.0,39112183750256.0,9900132800.21,22505902675360.0,123216372585631.58,CMA,2000
MAR010,Ciments du Maroc,Materiaux de construction,Souss-Massa,2021,57527752548170.336,897987918.8,1163126902.15,244642298.92,132270026871.0,10599209897.91,3624858777.1,,CMA,2000
