time,lat,lon,spei12
2000-01-16,27.25,-13.25,-0.4414449
2000-01-16,27.25,-12.75,-0.48535463
2000-01-16,27.25,-12.25,-0.7251062
2000-01-16,27.25,-11.75,-0.7953942
2000-01-16,27.25,-11.25,-0.8634792
2000-01-16,27.25,-10.75,-1.1108708
2000-01-16,27.25,-10.25,-1.1680838
2000-01-16,27.25,-9.75,-1.1337972
2000-01-16,27.25,-9.25,-1.1060357
2000-01-16,27.25,-8.75,-1.1212891
2000-01-16,27.25,-8.25,-1.2637097
2000-01-16,27.25,-7.75,-1.113832
2000-01-16,27.25,-7.25,-0.97844183
2000-01-16,27.25,-6.75,-0.9005749
2000-01-16,27.25,-6.25,-0.5582091
2000-01-16,27.25,-5.75,-0.46506426
2000-01-16,27.25,-5.25,-0.18400224
2000-01-16,27.25,-4.75,-0.33930913
2000-01-16,27.25,-4.25,-0.5166031
2000-01-16,27.25,-3.75,-0.32101893
2000-01-16,27.25,-3.25,-0.41777518
2000-01-16,27.25,-2.75,-0.4266259
2000-01-16,27.25,-2.25,-0.57994485
2000-01-16,27.25,-1.75,-0.30494195
2000-01-16,27.25,-1.25,-0.20064309
2000-01-16,27.75,-15.75,-0.5389404
2000-01-16,27.75,-15.25,-0.6003293
2000-01-16,27.75,-13.25,-0.723895
2000-01-16,27.75,-12.75,-0.71405333
2000-01-16,27.75,-12.25,-0.7260231
2000-01-16,27.75,-11.75,-0.8159985
2000-01-16,27.75,-11.25,-1.0561204
2000-01-16,27.75,-10.75,-1.2662616
2000-01-16,27.75,-10.25,-1.192653
2000-01-16,27.75,-9.75,-1.2422022
2000-01-16,27.75,-9.25,-1.0609592
2000-01-16,27.75,-8.75,-1.1512338
2000-01-16,27.75,-8.25,-1.0205215
2000-01-16,27.75,-7.75,-1.1803967
2000-01-16,27.75,-7.25,-0.80907357
2000-01-16,27.75,-6.75,-0.76920617
2000-01-16,27.75,-6.25,-0.7224449
2000-01-16,27.75,-5.75,-0.23217481
2000-01-16,27.75,-5.25,-0.1366465
2000-01-16,27.75,-4.75,-0.43301383
2000-01-16,27.75,-4.25,-0.3407254
2000-01-16,27.75,-3.75,-0.46665996
2000-01-16,27.75,-3.25,-0.72897583
2000-01-16,27.75,-2.75,-0.6561952
2000-01-16,27.75,-2.25,-0.57284105
2000-01-16,27.75,-1.75,-0.5752421
2000-01-16,27.75,-1.25,-0.4291448
2000-01-16,28.25,-16.75,-0.72049105
2000-01-16,28.25,-16.25,-0.5346936
2000-01-16,28.25,-15.75,-0.47241682
2000-01-16,28.25,-15.25,-0.5267377
2000-01-16,28.25,-14.25,-0.67310005
2000-01-16,28.25,-13.75,-0.80969656
2000-01-16,28.25,-12.25,-0.81088746
2000-01-16,28.25,-11.75,-1.0208857
2000-01-16,28.25,-11.25,-1.0897964
2000-01-16,28.25,-10.75,-1.1365708
2000-01-16,28.25,-10.25,-1.214227
2000-01-16,28.25,-9.75,-1.0969902
2000-01-16,28.25,-9.25,-1.0462917
2000-01-16,28.25,-8.75,-1.0309722
2000-01-16,28.25,-8.25,-0.97554123
2000-01-16,28.25,-7.75,-0.7935943
2000-01-16,28.25,-7.25,-0.92112446
2000-01-16,28.25,-6.75,-0.49480143
2000-01-16,28.25,-6.25,-0.41625768
2000-01-16,28.25,-5.75,-0.26027578
2000-01-16,28.25,-5.25,0.016690789
2000-01-16,28.25,-4.75,0.022763174
2000-01-16,28.25,-4.25,-0.2465368
2000-01-16,28.25,-3.75,-0.32119954
2000-01-16,28.25,-3.25,-0.3145668
2000-01-16,28.25,-2.75,-0.6804661
2000-01-16,28.25,-2.25,-0.8759928
2000-01-16,28.25,-1.75,-1.0978445
