time,lat,lon,spei12,region
2000-01-16,27.25,-13.25,-0.4414449,Laayoune-Sakia El Hamra
2000-01-16,27.25,-12.75,-0.48535463,Laayoune-Sakia El Hamra
2000-01-16,27.25,-12.25,-0.7251062,Laayoune-Sakia El Hamra
2000-01-16,27.25,-11.75,-0.7953942,Laayoune-Sakia El Hamra
2000-01-16,27.25,-11.25,-0.8634792,Laayoune-Sakia El Hamra
2000-01-16,27.25,-10.75,-1.1108708,Guelmim-Oued Noun
2000-01-16,27.25,-10.25,-1.1680838,Guelmim-Oued Noun
2000-01-16,27.25,-9.75,-1.1337972,Guelmim-Oued Noun
2000-01-16,27.25,-9.25,-1.1060357,Guelmim-Oued Noun
2000-01-16,27.25,-8.75,-1.1212891,Guelmim-Oued Noun
2000-01-16,27.25,-8.25,-1.2637097,Guelmim-Oued Noun
2000-01-16,27.25,-7.75,-1.113832,Guelmim-Oued Noun
2000-01-16,27.25,-7.25,-0.97844183,Guelmim-Oued Noun
2000-01-16,27.25,-6.75,-0.9005749,Souss-Massa
2000-01-16,27.25,-6.25,-0.5582091,Draa-Tafilalet
2000-01-16,27.25,-5.75,-0.46506426,Draa-Tafilalet
2000-01-16,27.25,-5.25,-0.18400224,Draa-Tafilalet
2000-01-16,27.25,-4.75,-0.33930913,Draa-Tafilalet
2000-01-16,27.25,-4.25,-0.5166031,Draa-Tafilalet
2000-01-16,27.25,-3.75,-0.32101893,Draa-Tafilalet
2000-01-16,27.25,-3.25,-0.41777518,Draa-Tafilalet
2000-01-16,27.25,-2.75,-0.4266259,Draa-Tafilalet
2000-01-16,27.25,-2.25,-0.57994485,Draa-Tafilalet
2000-01-16,27.25,-1.75,-0.30494195,Draa-Tafilalet
2000-01-16,27.25,-1.25,-0.20064309,Draa-Tafilalet
2000-01-16,27.75,-15.75,-0.5389404,Laayoune-Sakia El Hamra
2000-01-16,27.75,-15.25,-0.6003293,Laayoune-Sakia El Hamra
2000-01-16,27.75,-13.25,-0.723895,Laayoune-Sakia El Hamra
2000-01-16,27.75,-12.75,-0.71405333,Laayoune-Sakia El Hamra
2000-01-16,27.75,-12.25,-0.7260231,Laayoune-Sakia El Hamra
2000-01-16,27.75,-11.75,-0.8159985,Laayoune-Sakia El Hamra
2000-01-16,27.75,-11.25,-1.0561204,Guelmim-Oued Noun
2000-01-16,27.75,-10.75,-1.2662616,Guelmim-Oued Noun
2000-01-16,27.75,-10.25,-1.192653,Guelmim-Oued Noun
2000-01-16,27.75,-9.75,-1.2422022,Guelmim-Oued Noun
2000-01-16,27.75,-9.25,-1.0609592,Guelmim-Oued Noun
2000-01-16,27.75,-8.75,-1.1512338,Guelmim-Oued Noun
2000-01-16,27.75,-8.25,-1.0205215,Guelmim-Oued Noun
2000-01-16,27.75,-7.75,-1.1803967,Guelmim-Oued Noun
2000-01-16,27.75,-7.25,-0.80907357,Souss-Massa
2000-01-16,27.75,-6.75,-0.76920617,Souss-Massa
2000-01-16,27.75,-6.25,-0.7224449,Draa-Tafilalet
2000-01-16,27.75,-5.75,-0.23217481,Draa-Tafilalet
2000-01-16,27.75,-5.25,-0.1366465,Draa-Tafilalet
2000-01-16,27.75,-4.75,-0.43301383,Draa-Tafilalet
2000-01-16,27.75,-4.25,-0.3407254,Draa-Tafilalet
2000-01-16,27.75,-3.75,-0.46665996,Draa-Tafilalet
2000-01-16,27.75,-3.25,-0.72897583,Draa-Tafilalet
2000-01-16,27.75,-2.75,-0.6561952,Draa-Tafilalet
2000-01-16,27.75,-2.25,-0.57284105,Draa-Tafilalet
2000-01-16,27.75,-1.75,-0.5752421,Draa-Tafilalet
2000-01-16,27.75,-1.25,-0.4291448,Draa-Tafilalet
2000-01-16,28.25,-16.75,-0.72049105,Laayoune-Sakia El Hamra
2000-01-16,28.25,-16.25,-0.5346936,Laayoune-Sakia El Hamra
2000-01-16,28.25,-15.75,-0.47241682,Laayoune-Sakia El Hamra
2000-01-16,28.25,-15.25,-0.5267377,Laayoune-Sakia El Hamra
2000-01-16,28.25,-14.25,-0.67310005,Laayoune-Sakia El Hamra
2000-01-16,28.25,-13.75,-0.80969656,Laayoune-Sakia El Hamra
2000-01-16,28.25,-12.25,-0.81088746,Laayoune-Sakia El Hamra
2000-01-16,28.25,-11.75,-1.0208857,Laayoune-Sakia El Hamra
2000-01-16,28.25,-11.25,-1.0897964,Guelmim-Oued Noun
2000-01-16,28.25,-10.75,-1.1365708,Guelmim-Oued Noun
2000-01-16,28.25,-10.25,-1.214227,Guelmim-Oued Noun
2000-01-16,28.25,-9.75,-1.0969902,Guelmim-Oued Noun
2000-01-16,28.25,-9.25,-1.0462917,Guelmim-Oued Noun
2000-01-16,28.25,-8.75,-1.0309722,Guelmim-Oued Noun
2000-01-16,28.25,-8.25,-0.97554123,Guelmim-Oued Noun
2000-01-16,28.25,-7.75,-0.7935943,Souss-Massa
2000-01-16,28.25,-7.25,-0.92112446,Souss-Massa
2000-01-16,28.25,-6.75,-0.49480143,Souss-Massa
2000-01-16,28.25,-6.25,-0.41625768,Draa-Tafilalet
2000-01-16,28.25,-5.75,-0.26027578,Draa-Tafilalet
2000-01-16,28.25,-5.25,0.016690789,Draa-Tafilalet
2000-01-16,28.25,-4.75,0.022763174,Draa-Tafilalet
2000-01-16,28.25,-4.25,-0.2465368,Draa-Tafilalet
2000-01-16,28.25,-3.75,-0.32119954,Draa-Tafilalet
2000-01-16,28.25,-3.25,-0.3145668,Draa-Tafilalet
2000-01-16,28.25,-2.75,-0.6804661,Draa-Tafilalet
2000-01-16,28.25,-2.25,-0.8759928,Draa-Tafilalet
2000-01-16,28.25,-1.75,-1.0978445,Draa-Tafilalet
2000-01-16,28.25,-1.25,-0.87844896,Draa-Tafilalet
2000-01-16,28.75,-16.25,-0.5966921,Laayoune-Sakia El Hamra
2000-01-16,28.75,-13.75,-0.7419953,Laayoune-Sakia El Hamra
2000-01-16,28.75,-11.25,-1.0428725,Guelmim-Oued Noun
2000-01-16,28.75,-10.75,-1.1220247,Guelmim-Oued Noun
2000-01-16,28.75,-10.25,-1.0339621,Guelmim-Oued Noun
2000-01-16,28.75,-9.75,-0.95587516,Guelmim-Oued Noun
2000-01-16,28.75,-9.25,-0.89144313,Guelmim-Oued Noun
2000-01-16,28.75,-8.75,-0.78697515,Guelmim-Oued Noun
2000-01-16,28.75,-8.25,-0.88052243,Souss-Massa
2000-01-16,28.75,-7.75,-0.938156,Souss-Massa
2000-01-16,28.75,-7.25,-0.63286525,Souss-Massa
2000-01-16,28.75,-6.75,-0.4767264,Souss-Massa
2000-01-16,28.75,-6.25,-0.2683273,Draa-Tafilalet
2000-01-16,28.75,-5.75,0.11155626,Draa-Tafilalet
2000-01-16,28.75,-5.25,-0.0029617664,Draa-Tafilalet
2000-01-16,28.75,-4.75,-0.06555832,Draa-Tafilalet
2000-01-16,28.75,-4.25,-0.30845687,Draa-Tafilalet
2000-01-16,28.75,-3.75,-0.30631515,Draa-Tafilalet
2000-01-16,28.75,-3.25,-0.7787021,Draa-Tafilalet
2000-01-16,28.75,-2.75,-0.768418,Draa-Tafilalet
2000-01-16,28.75,-2.25,-0.94935584,Draa-Tafilalet
2000-01-16,28.75,-1.75,-0.8489935,Draa-Tafilalet
2000-01-16,28.75,-1.25,-0.9391843,Draa-Tafilalet
2000-01-16,29.25,-13.75,-0.8920339,Laayoune-Sakia El Hamra
2000-01-16,29.25,-10.25,-0.78156984,Guelmim-Oued Noun
2000-01-16,29.25,-9.75,-0.7275029,Guelmim-Oued Noun
2000-01-16,29.25,-9.25,-0.7817013,Guelmim-Oued Noun
2000-01-16,29.25,-8.75,-0.83922315,Souss-Massa
2000-01-16,29.25,-8.25,-0.8159162,Souss-Massa
2000-01-16,29.25,-7.75,-0.78959334,Souss-Massa
2000-01-16,29.25,-7.25,-0.40075153,Souss-Massa
2000-01-16,29.25,-6.75,-0.18789116,Souss-Massa
2000-01-16,29.25,-6.25,-0.034039695,Draa-Tafilalet
2000-01-16,29.25,-5.75,-0.048053257,Draa-Tafilalet
2000-01-16,29.25,-5.25,-0.16587418,Draa-Tafilalet
2000-01-16,29.25,-4.75,-0.0699506,Draa-Tafilalet
2000-01-16,29.25,-4.25,-0.35367972,Draa-Tafilalet
2000-01-16,29.25,-3.75,-0.3404045,Draa-Tafilalet
2000-01-16,29.25,-3.25,-0.55535746,Draa-Tafilalet
2000-01-16,29.25,-2.75,-0.82413965,Draa-Tafilalet
2000-01-16,29.25,-2.25,-0.9803439,Draa-Tafilalet
2000-01-16,29.25,-1.75,-0.8501315,Draa-Tafilalet
2000-01-16,29.25,-1.25,-1.0033911,Draa-Tafilalet
2000-01-16,29.75,-10.25,-0.7030785,Guelmim-Oued Noun
2000-01-16,29.75,-9.75,-0.48665664,Guelmim-Oued Noun
2000-01-16,29.75,-9.25,-0.66993797,Souss-Massa
2000-01-16,29.75,-8.75,-0.6595641,Souss-Massa
2000-01-16,29.75,-8.25,-0.4687467,Souss-Massa
2000-01-16,29.75,-7.75,-0.39426982,Souss-Massa
2000-01-16,29.75,-7.25,-0.06941924,Souss-Massa
2000-01-16,29.75,-6.75,-0.07414271,Draa-Tafilalet
2000-01-16,29.75,-6.25,0.119244136,Draa-Tafilalet
2000-01-16,29.75,-5.75,0.11222791,Draa-Tafilalet
2000-01-16,29.75,-5.25,-0.07977788,Draa-Tafilalet
2000-01-16,29.75,-4.75,-0.37635377,Draa-Tafilalet
2000-01-16,29.75,-4.25,-0.48624688,Draa-Tafilalet
2000-01-16,29.75,-3.75,-0.35538152,Draa-Tafilalet
2000-01-16,29.75,-3.25,-0.73073006,Draa-Tafilalet
2000-01-16,29.75,-2.75,-0.71385986,Draa-Tafilalet
2000-01-16,29.75,-2.25,-0.9055527,Draa-Tafilalet
2000-01-16,29.75,-1.75,-0.9199674,Draa-Tafilalet
2000-01-16,29.75,-1.25,-0.84219706,Oriental
2000-01-16,30.25,-9.75,-0.3655675,Guelmim-Oued Noun
2000-01-16,30.25,-9.25,-0.4928521,Souss-Massa
2000-01-16,30.25,-8.75,-0.5009615,Souss-Massa
2000-01-16,30.25,-8.25,-0.41246468,Souss-Massa
2000-01-16,30.25,-7.75,-0.31486186,Souss-Massa
2000-01-16,30.25,-7.25,-0.14687724,Souss-Massa
2000-01-16,30.25,-6.75,-0.19733931,Draa-Tafilalet
2000-01-16,30.25,-6.25,-0.068600684,Draa-Tafilalet
2000-01-16,30.25,-5.75,-0.022714786,Draa-Tafilalet
2000-01-16,30.25,-5.25,-0.2565066,Draa-Tafilalet
2000-01-16,30.25,-4.75,-0.4104919,Draa-Tafilalet
2000-01-16,30.25,-4.25,-0.49017555,Draa-Tafilalet
2000-01-16,30.25,-3.75,-0.45429826,Draa-Tafilalet
2000-01-16,30.25,-3.25,-0.6168326,Draa-Tafilalet
2000-01-16,30.25,-2.75,-0.8639882,Draa-Tafilalet
2000-01-16,30.25,-2.25,-0.85348254,Draa-Tafilalet
2000-01-16,30.25,-1.75,-0.7982903,Oriental
2000-01-16,30.25,-1.25,-1.0041124,Oriental
2000-01-16,30.75,-9.75,-0.19266468,Souss-Massa
2000-01-16,30.75,-9.25,-0.26390004,Souss-Massa
2000-01-16,30.75,-8.75,-0.30664068,Souss-Massa
2000-01-16,30.75,-8.25,-0.2377123,Souss-Massa
2000-01-16,30.75,-7.75,-0.33560964,Souss-Massa
2000-01-16,30.75,-7.25,-0.2500322,Marrakech-Safi
2000-01-16,30.75,-6.75,-0.14067289,Draa-Tafilalet
2000-01-16,30.75,-6.25,-0.14215043,Draa-Tafilalet
2000-01-16,30.75,-5.75,-0.35285315,Draa-Tafilalet
2000-01-16,30.75,-5.25,-0.32554406,Draa-Tafilalet
2000-01-16,30.75,-4.75,-0.5221823,Draa-Tafilalet
2000-01-16,30.75,-4.25,-0.61619395,Draa-Tafilalet
2000-01-16,30.75,-3.75,-0.6203566,Draa-Tafilalet
2000-01-16,30.75,-3.25,-0.66363996,Draa-Tafilalet
2000-01-16,30.75,-2.75,-0.74538916,Draa-Tafilalet
2000-01-16,30.75,-2.25,-0.8146058,Oriental
2000-01-16,30.75,-1.75,-0.66936326,Oriental
2000-01-16,30.75,-1.25,-0.8828804,Oriental
2000-01-16,31.25,-9.75,-0.050480627,Souss-Massa
2000-01-16,31.25,-9.25,-0.13067417,Souss-Massa
2000-01-16,31.25,-8.75,-0.29562268,Marrakech-Safi
2000-01-16,31.25,-8.25,-0.36427912,Marrakech-Safi
2000-01-16,31.25,-7.75,-0.4254246,Marrakech-Safi
2000-01-16,31.25,-7.25,-0.35272318,Marrakech-Safi
2000-01-16,31.25,-6.75,-0.41306296,Beni Mellal-Khenifra
2000-01-16,31.25,-6.25,-0.5953267,Draa-Tafilalet
2000-01-16,31.25,-5.75,-0.70560825,Draa-Tafilalet
2000-01-16,31.25,-5.25,-0.6517281,Draa-Tafilalet
