Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,7.646,0.277,3.894,5.383,0.062,1.69,0.701,0,0,MtCO2
1991,7.595,0.249,4.326,5.628,0.077,1.972,0.754,0,0,MtCO2
1992,8.138,0.277,4.793,5.833,0.089,2.126,0.875,0,0,MtCO2
1993,8.965,0.29,5.22,4.979,0.098,2.309,0.981,0,0,MtCO2
1994,9.903,0.304,5.64,5.549,0.107,2.429,1.063,0,0,MtCO2
1995,11.403,0.288,5.986,4.641,0.113,2.542,1.098,0,0,MtCO2
1996,9.662,0.293,6.397,5.499,0.119,2.626,1.107,0,0,MtCO2
1997,10.323,0.31,6.833,5.364,0.125,2.8,1.113,0,0,MtCO2
1998,10.306,0.318,7.269,5.39,0.131,2.943,1.19,0,0,MtCO2
1999,10.624,0.379,7.763,5.774,0.14,3.132,1.269,0,0,MtCO2
2000,10.878,0.357,8.171,5.534,0.143,3.192,1.272,0,0,MtCO2
2001,12.865,0.362,8.582,5.596,0.149,3.3,1.336,0,0,MtCO2
2002,13.729,0.326,8.993,5.345,0.158,3.419,1.364,0,0,MtCO2
2003,14.281,0.235,9.37,4.142,0.167,3.455,1.415,0,0,MtCO2
2004,15.461,0.45,9.832,6.384,0.262,3.625,1.5,0,0,MtCO2
2005,16.23,0.591,10.236,6.657,0.28,3.774,1.592,0,0,MtCO2
2006,16.501,0.453,10.543,6.757,0.298,4.057,1.649,0,0,MtCO2
2007,16.198,0.489,11.191,6.779,0.32,4.432,1.667,0,0,MtCO2
2008,16.411,0.476,12.263,7.622,0.341,4.718,1.717,0,0,MtCO2
2009,14.979,0.855,12.972,7.21,0.339,4.805,2.003,0,0,MtCO2
2010,16.407,1.312,13.645,7.639,0.348,4.995,2.041,0,0,MtCO2
2011,18.602,1.327,14.442,8.613,0.345,5.252,2.147,0,0,MtCO2
2012,19.317,1.204,14.653,8.845,0.354,5.622,2.239,0,0,MtCO2
2013,17.891,1.201,15.209,8.756,0.357,5.78,2.323,0,0,MtCO2
2014,20.348,1.246,15.406,7.699,0.381,6.058,2.375,0,0,MtCO2
2015,21.626,0.602,16.375,7.458,0.374,6.203,2.519,0,0,MtCO2
2016,21.605,0.015,17.042,6.9,0.392,6.498,2.611,0,0,MtCO2
2017,22.52,0.014,17.676,7.909,0.417,6.669,2.751,0,0,MtCO2
2018,23.3,0.015,18.164,7.851,0.427,6.815,2.827,0,0,MtCO2
2019,28.84,0.013,18.952,7.624,0.467,7.125,2.966,0,0,MtCO2
2020,28.372,0.012,16.639,6.7,0.429,7.433,2.638,0,0,MtCO2
2021,30.245,0.01,18.624,7.554,0.49,7.514,2.93,0,0,MtCO2
2022,31.983,0.007,17.554,6.629,0.495,7.702,2.798,0,0,MtCO2
2023,29.404,0.006,18.292,6.339,0.53,7.9,2.921,0,0,MtCO2
