Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Carbon intensity of industry consumption,Units
1990,65.58136,gCO2 per MJ
1991,64.709971,gCO2 per MJ
1992,63.422834,gCO2 per MJ
1993,61.341084,gCO2 per MJ
1994,61.934855,gCO2 per MJ
1995,57.879205,gCO2 per MJ
1996,62.113802,gCO2 per MJ
1997,60.562083,gCO2 per MJ
1998,59.343986,gCO2 per MJ
1999,62.197336,gCO2 per MJ
2000,59.499285,gCO2 per MJ
2001,61.247948,gCO2 per MJ
2002,59.864634,gCO2 per MJ
2003,53.509949,gCO2 per MJ
2004,64.42764,gCO2 per MJ
2005,64.026972,gCO2 per MJ
2006,63.263868,gCO2 per MJ
2007,62.736041,gCO2 per MJ
2008,63.844518,gCO2 per MJ
2009,62.717514,gCO2 per MJ
2010,62.529543,gCO2 per MJ
2011,63.581843,gCO2 per MJ
2012,62.961929,gCO2 per MJ
2013,63.136299,gCO2 per MJ
2014,59.791093,gCO2 per MJ
2015,58.873642,gCO2 per MJ
2016,57.130499,gCO2 per MJ
2017,57.951119,gCO2 per MJ
2018,57.640399,gCO2 per MJ
2019,56.633424,gCO2 per MJ
2020,54.852732,gCO2 per MJ
2021,55.582675,gCO2 per MJ
2022,52.304086,gCO2 per MJ
2023,50.805691,gCO2 per MJ
