Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Final Energy Carbon Intensity,Units
1990,83.152737,gCO2 per MJ
1991,80.508386,gCO2 per MJ
1992,80.452056,gCO2 per MJ
1993,83.601872,gCO2 per MJ
1994,84.352428,gCO2 per MJ
1995,88.395232,gCO2 per MJ
1996,82.408257,gCO2 per MJ
1997,82.633549,gCO2 per MJ
1998,82.183038,gCO2 per MJ
1999,83.056762,gCO2 per MJ
2000,82.617434,gCO2 per MJ
2001,87.065907,gCO2 per MJ
2002,88.851794,gCO2 per MJ
2003,87.922833,gCO2 per MJ
2004,81.456922,gCO2 per MJ
2005,83.371568,gCO2 per MJ
2006,83.308431,gCO2 per MJ
2007,82.149793,gCO2 per MJ
2008,82.600766,gCO2 per MJ
2009,79.644065,gCO2 per MJ
2010,83.750101,gCO2 per MJ
2011,86.509307,gCO2 per MJ
2012,87.480738,gCO2 per MJ
2013,84.496936,gCO2 per MJ
2014,87.932471,gCO2 per MJ
2015,87.465754,gCO2 per MJ
2016,85.887639,gCO2 per MJ
2017,86.262763,gCO2 per MJ
2018,87.592405,gCO2 per MJ
2019,94.313091,gCO2 per MJ
2020,95.075144,gCO2 per MJ
2021,95.250961,gCO2 per MJ
2022,98.077003,gCO2 per MJ
2023,92.744942,gCO2 per MJ
